epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,74.5215,0.96097,0.75104,0.88005,0.90735,0.90884,0.93135,0.6951,0.90523,0.64972,0.85909,0.000341077,0.000341077,0.000341077
72,75.5877,0.95875,0.73805,0.86674,0.90241,0.90821,0.93193,0.68929,0.91384,0.63784,0.85753,0.000330078,0.000330078,0.000330078
73,76.5677,0.99695,0.77582,0.86867,0.90241,0.90821,0.93193,0.68929,0.91384,0.63784,0.85753,0.000319079,0.000319079,0.000319079
74,77.5824,1.0272,0.75785,0.86565,0.92837,0.89779,0.93298,0.69044,0.90706,0.63174,0.85512,0.00030808,0.00030808,0.00030808
75,78.5686,1.01113,0.77217,0.87217,0.92696,0.89233,0.92945,0.69853,0.89694,0.62996,0.85447,0.000297081,0.000297081,0.000297081
76,79.5477,0.97015,0.76257,0.87637,0.92223,0.89029,0.92649,0.68846,0.89145,0.62922,0.8538,0.000286083,0.000286083,0.000286083
77,80.6786,0.98074,0.74605,0.8728,0.92223,0.89029,0.92649,0.68846,0.89145,0.62922,0.8538,0.000275084,0.000275084,0.000275084
78,81.6651,0.95174,0.72141,0.86883,0.91873,0.89376,0.92674,0.68664,0.87006,0.62402,0.85215,0.000264085,0.000264085,0.000264085
79,82.6671,0.93724,0.71243,0.87273,0.91571,0.89553,0.92831,0.68943,0.85935,0.61646,0.85009,0.000253086,0.000253086,0.000253086
80,83.6208,0.9763,0.73347,0.86055,0.91902,0.90023,0.92939,0.69207,0.86073,0.61586,0.85052,0.000242087,0.000242087,0.000242087
81,84.589,0.98664,0.72422,0.85821,0.91902,0.90023,0.92939,0.69207,0.86073,0.61586,0.85052,0.000231088,0.000231088,0.000231088
82,85.5965,0.92368,0.71132,0.87317,0.90629,0.90097,0.92978,0.69357,0.86315,0.61698,0.84964,0.000220089,0.000220089,0.000220089
83,86.5861,1.01836,0.75945,0.86588,0.91229,0.90357,0.93143,0.6923,0.85768,0.61304,0.84804,0.00020909,0.00020909,0.00020909
84,87.5694,0.91068,0.71457,0.87515,0.92017,0.90154,0.93288,0.70024,0.84194,0.60985,0.8463,0.000198091,0.000198091,0.000198091
85,88.5257,0.9694,0.73171,0.87063,0.92017,0.90154,0.93288,0.70024,0.84194,0.60985,0.8463,0.000187092,0.000187092,0.000187092
86,89.4976,0.96822,0.73802,0.85979,0.92725,0.90271,0.93663,0.70858,0.82971,0.60466,0.84478,0.000176094,0.000176094,0.000176094
87,90.4812,0.93557,0.72405,0.87337,0.91927,0.90957,0.93791,0.70712,0.82447,0.59537,0.84433,0.000165095,0.000165095,0.000165095
88,91.4345,0.94461,0.74131,0.87285,0.91134,0.91984,0.93971,0.70943,0.82278,0.593,0.84385,0.000154096,0.000154096,0.000154096
89,92.3784,0.95316,0.72352,0.85787,0.91134,0.91984,0.93971,0.70943,0.82278,0.593,0.84385,0.000143097,0.000143097,0.000143097
90,93.3527,0.91765,0.7092,0.87543,0.91628,0.92011,0.94027,0.71456,0.82402,0.5923,0.84323,0.000132098,0.000132098,0.000132098
91,107.7,0.95196,0.94954,0.87719,0.9214,0.92022,0.94191,0.71734,0.82574,0.59092,0.84291,0.000121099,0.000121099,0.000121099
92,108.687,0.91714,0.92884,0.87397,0.92043,0.92187,0.94247,0.72006,0.8293,0.58953,0.84285,0.0001101,0.0001101,0.0001101
93,109.618,0.924,0.8476,0.84781,0.92043,0.92187,0.94247,0.72006,0.8293,0.58953,0.84285,9.91012e-05,9.91012e-05,9.91012e-05
94,110.596,0.90143,0.79277,0.86149,0.91796,0.92159,0.94239,0.7229,0.8263,0.59147,0.84276,8.81023e-05,8.81023e-05,8.81023e-05
95,111.569,0.88239,0.78621,0.87166,0.925,0.91998,0.94256,0.72263,0.81799,0.59527,0.84219,7.71034e-05,7.71034e-05,7.71034e-05
96,112.536,0.90961,0.83935,0.86719,0.93015,0.91654,0.94182,0.72431,0.81898,0.59889,0.84274,6.61045e-05,6.61045e-05,6.61045e-05
97,113.482,0.91639,0.80095,0.85745,0.93015,0.91654,0.94182,0.72431,0.81898,0.59889,0.84274,5.51056e-05,5.51056e-05,5.51056e-05
98,114.558,0.89709,0.76929,0.85397,0.92968,0.91372,0.94062,0.724,0.82372,0.60382,0.84335,4.41067e-05,4.41067e-05,4.41067e-05
99,115.506,0.90293,0.76814,0.8665,0.9337,0.90694,0.94019,0.72216,0.8263,0.60652,0.84396,3.31078e-05,3.31078e-05,3.31078e-05
100,116.5,0.86604,0.74551,0.87594,0.93827,0.90804,0.94146,0.72053,0.82841,0.60909,0.84426,2.21089e-05,2.21089e-05,2.21089e-05
1,3.77844,3.03588,4.42872,1.8646,0.0001,0.0129,6e-05,2e-05,3.00674,4.41857,1.86321,2.222e-05,2.222e-05,2.222e-05
2,4.95965,3.20638,4.42736,1.85188,0.0002,0.02581,0.00012,2e-05,2.60074,4.40986,1.63672,5.44501e-05,5.44501e-05,5.44501e-05
3,6.02454,2.56864,4.33874,1.54312,0,0,0,0,1.93235,4.31044,1.19883,8.53604e-05,8.53604e-05,8.53604e-05
4,7.01891,2.00055,4.19195,1.24569,0.00015,0.0079,0.00012,3e-05,1.90745,4.23285,1.06772,0.000114951,0.000114951,0.000114951
5,8.4686,1.71477,3.99684,1.09149,0.00163,0.06816,0.0011,0.00026,1.62667,4.18084,0.99974,0.000143221,0.000143221,0.000143221
6,9.46323,1.65782,3.85602,1.06421,0.00182,0.05023,0.00135,0.00028,1.59124,4.17404,0.99709,0.000170172,0.000170172,0.000170172
7,10.4419,1.5568,3.73093,1.0235,0.07158,0.07583,0.03756,0.00867,1.67443,4.12472,1.00307,0.000195803,0.000195803,0.000195803
8,11.4004,1.46145,3.58374,0.99734,0.03688,0.09456,0.02278,0.00589,1.59925,4.08337,0.98191,0.000220114,0.000220114,0.000220114
9,12.395,1.48784,3.47764,0.98882,0.02896,0.18257,0.02813,0.00726,1.37657,4.03064,0.93858,0.000243105,0.000243105,0.000243105
10,13.4156,1.45386,3.34563,0.99071,0.01938,0.20251,0.02738,0.00578,1.35784,4.02015,0.93851,0.000264776,0.000264776,0.000264776
11,14.3962,1.3835,3.13223,0.98306,0.02028,0.3124,0.03747,0.00881,1.34354,3.97072,0.94229,0.000285127,0.000285127,0.000285127
12,15.3474,1.54024,3.02019,0.97684,0.02308,0.3933,0.05948,0.01555,1.32434,3.92233,0.93692,0.000304158,0.000304158,0.000304158
13,16.3345,1.39657,2.8191,0.96634,0.02372,0.43278,0.11139,0.03912,1.29803,3.83704,0.93035,0.00032187,0.00032187,0.00032187
14,17.3123,1.45029,2.66737,0.96177,0.02509,0.43664,0.13535,0.04576,1.29073,3.7976,0.92502,0.000338262,0.000338262,0.000338262
15,18.273,1.45898,2.50706,0.94125,0.02369,0.39806,0.09902,0.03743,1.24469,3.72595,0.9153,0.000353334,0.000353334,0.000353334
16,19.2454,1.45348,2.33899,0.93614,0.02869,0.44651,0.12634,0.04966,1.23738,3.68011,0.91008,0.000367086,0.000367086,0.000367086
17,20.2019,1.41722,2.26436,0.92293,0.03377,0.47441,0.1596,0.06758,1.22669,3.63396,0.90548,0.000379518,0.000379518,0.000379518
18,21.1924,1.43071,2.02962,0.95063,0.03793,0.49126,0.14934,0.0562,1.22142,3.60198,0.90217,0.00039063,0.00039063,0.00039063
19,22.1503,1.389,1.99366,0.91428,0.04453,0.51283,0.14141,0.06195,1.2068,3.55695,0.89932,0.000400422,0.000400422,0.000400422
20,23.1197,1.31729,1.79709,0.91673,0.05364,0.55936,0.23187,0.12105,1.19791,3.43723,0.89412,0.000408895,0.000408895,0.000408895
21,24.0761,1.29885,1.7444,0.92295,0.057,0.5842,0.32386,0.18977,1.20149,3.33449,0.89471,0.000416047,0.000416047,0.000416047
22,25.0379,1.33665,1.66674,0.90933,0.06034,0.62641,0.44982,0.26749,1.2545,3.24478,0.90226,0.00042188,0.00042188,0.00042188
23,25.9958,1.35092,1.62814,0.91397,0.06396,0.64874,0.51709,0.3115,1.26295,3.15113,0.90701,0.000426393,0.000426393,0.000426393
24,26.9375,1.31083,1.45016,0.91957,0.06659,0.67653,0.53612,0.34324,1.19804,3.04119,0.90012,0.000429586,0.000429586,0.000429586
25,27.9218,1.23011,1.40681,0.91956,0.71319,0.44424,0.54906,0.3536,1.19815,2.93038,0.90092,0.000431459,0.000431459,0.000431459
26,28.8729,1.34132,1.40175,0.93021,0.93142,0.32627,0.54914,0.35955,1.19158,2.83501,0.90275,0.000432012,0.000432012,0.000432012
27,30.0047,1.30245,1.36527,0.93248,0.9564,0.32313,0.58155,0.37837,1.20861,2.75916,0.89765,0.000431246,0.000431246,0.000431246
28,30.976,1.26819,1.29671,0.9063,0.96572,0.34654,0.60379,0.38356,1.28971,2.65801,0.91073,0.000429159,0.000429159,0.000429159
29,31.9416,1.37192,1.287,0.90937,0.96572,0.34654,0.60379,0.38356,1.28971,2.65801,0.91073,0.000425753,0.000425753,0.000425753
30,32.9954,1.29127,1.2373,0.91496,0.96245,0.39198,0.62602,0.40388,1.29609,2.48026,0.9228,0.000421027,0.000421027,0.000421027
